_id,Date,UK/Royaume-Uni,Germany/Allemagne,France,Japan/Japon,Canada,USA/États-Unis d'Amérique,Tax Status,Situation fiscale
184,2017-02-01T00:00:00,69.1,73.6,72.6,75.1,69.8,64,Base,Base
185,2017-02-01T00:00:00,127.7,122.9,124.8,76.4,38.9,15.9,Tax,Taxe
186,2017-02-01T00:00:00,196.8,196.5,197.4,151.5,108.7,79.9,Total,Totale
187,2017-03-01T00:00:00,68.4,71.5,71.8,79.5,70.6,66,Base,Base
188,2017-03-01T00:00:00,128.8,125.1,127.5,78.3,38.8,16.2,Tax,Taxe
189,2017-03-01T00:00:00,197.2,196.6,199.3,157.8,109.4,82.2,Total,Totale
190,2017-04-01T00:00:00,70.4,77.5,75.1,82.4,78.5,70.7,Base,Base
191,2017-04-01T00:00:00,136.9,130.8,133,80.9,39.3,16.5,Tax,Taxe
192,2017-04-01T00:00:00,207.3,208.3,208.1,163.3,117.8,87.2,Total,Totale
193,2017-05-01T00:00:00,68.7,75.7,73.2,80.6,74.8,69.5,Base,Base
194,2017-05-01T00:00:00,136.2,131.6,133.6,80.3,39.1,16.5,Tax,Taxe
195,2017-05-01T00:00:00,204.9,207.3,206.8,160.9,113.9,86,Total,Totale
196,2017-06-01T00:00:00,64.9,72.9,69.4,78.1,70.4,66.4,Base,Base
197,2017-06-01T00:00:00,131.5,130.3,132.2,79.3,38.8,16.1,Tax,Taxe
198,2017-06-01T00:00:00,196.4,203.2,201.6,157.4,109.2,82.5,Total,Totale
199,2017-07-01T00:00:00,60.4,69.7,64.6,73,70.6,60.7,Base,Base
200,2017-07-01T00:00:00,126,127.3,128.6,74.5,38.9,15.1,Tax,Taxe
201,2017-07-01T00:00:00,186.3,197.1,193.2,147.4,109.5,75.8,Total,Totale
202,2017-08-01T00:00:00,62.9,72.2,67.9,74.7,73.7,63.9,Base,Base
203,2017-08-01T00:00:00,126.2,129.8,131.2,75.9,39.1,15.4,Tax,Taxe
204,2017-08-01T00:00:00,189.1,202,199.1,150.6,112.8,79.3,Total,Totale
205,2017-09-01T00:00:00,66.4,74.7,69.9,72.8,79.1,70.9,Base,Base
